bebida,tendência,p-valor,z,Tau,slope,intercept
Cerveja,no trend,0.22955621387891956,1.2015028183722212,0.42857142857142855,1854145.4104719006,430978.2044147989
Destilado,no trend,0.5480055723613093,-0.6007514091861106,-0.23809523809523808,-1161575792.0780702,18172051763.48629
Vinho,no trend,0.36752073824214304,-0.9011271137791659,-0.3333333333333333,-316448.76351300004,1806382.4425010001
